,title,price,type,material,location,link
77,wall art,20,art,,unknown,https://charlottesville.craigslist.org/fuo/d/troy-wall-art/7821729532.html
78,vintage cedar chest,90,,,Louisa,https://charlottesville.craigslist.org/fuo/d/troy-vintage-cedar-chest/7822033261.html
79,large 3 tier cart,30,,,Louisa,https://charlottesville.craigslist.org/fuo/d/troy-large-tier-cart/7822815877.html
80,small refrigerator,35,,,unknown,https://charlottesville.craigslist.org/fuo/d/troy-small-refrigerator/7821129617.html
81,metal twin-queen frame,30,,,unknown,https://charlottesville.craigslist.org/fuo/d/troy-metal-twin-queen-frame/7817239877.html
82,havertys beige couch,100,,,Madison,https://charlottesville.craigslist.org/fuo/d/pratts-havertys-beige-couch/7823616541.html
83,brookhaven solid wood end table,150,table,wood,unknown,https://charlottesville.craigslist.org/fuo/d/north-garden-brookhaven-solid-wood-end/7816473513.html
84,vintage keller furniture server buffet,325,,,unknown,https://charlottesville.craigslist.org/fuo/d/north-garden-vintage-keller-furniture/7815623329.html
85,early american china cabinet,300,cabinet,,unknown,https://charlottesville.craigslist.org/fuo/d/north-garden-early-american-china/7815624124.html
86,swivel bar stool,10,stool,,unknown,https://charlottesville.craigslist.org/fuo/d/troy-swivel-bar-stool/7821689946.html
87,vintage wood school desk,30,desk,wood,Louisa,https://charlottesville.craigslist.org/fuo/d/troy-vintage-wood-school-desk/7818115011.html
88,vintage desk,40,desk,,unknown,https://charlottesville.craigslist.org/fuo/d/troy-vintage-desk/7819010934.html
89,small wood replica school desk,10,desk,wood,unknown,https://charlottesville.craigslist.org/fuo/d/troy-small-wood-replica-school-desk/7821695076.html
90,kidkraft desk/hutch,20,,,Louisa,https://charlottesville.craigslist.org/fuo/d/troy-kidkraft-desk-hutch/7822806384.html
91,heavy framed picture,15,,,unknown,https://charlottesville.craigslist.org/fuo/d/troy-heavy-framed-picture/7819806143.html
92,framed picture,20,,,unknown,https://charlottesville.craigslist.org/fuo/d/troy-framed-picture/7821728100.html
93,night stand,15,,,unknown,https://charlottesville.craigslist.org/fuo/d/troy-night-stand/7821690250.html
94,4 tier stand,15,,,unknown,https://charlottesville.craigslist.org/fuo/d/troy-tier-stand/7821704894.html
95,2 tier stand,20,,,Louisa,https://charlottesville.craigslist.org/fuo/d/troy-tier-stand/7822814659.html
96,full box springs,20,,,unknown,https://charlottesville.craigslist.org/fuo/d/troy-full-box-springs/7821702472.html
97,full bookcase style headboard,30,bookcase,,unknown,https://charlottesville.craigslist.org/fuo/d/troy-full-bookcase-style-headboard/7821703803.html
98,white twin wicker headboard,15,headboard,wicker,unknown,https://charlottesville.craigslist.org/fuo/d/troy-white-twin-wicker-headboard/7823588407.html
99,cabinet (4) drawers,20,cabinet,,Louisa,https://charlottesville.craigslist.org/fuo/d/troy-cabinet-drawers/7820192855.html
100,file cabinet,15,cabinet,,unknown,https://charlottesville.craigslist.org/fuo/d/troy-file-cabinet/7823588238.html
101,kids desk/chair,30,,,Louisa,https://charlottesville.craigslist.org/fuo/d/troy-kids-desk-chair/7817912111.html
102,wood old rocking chair,30,chair,wood,unknown,https://charlottesville.craigslist.org/fuo/d/troy-wood-old-rocking-chair/7819013227.html
103,small  wood rocking chair,20,chair,wood,Louisa,https://charlottesville.craigslist.org/fuo/d/troy-small-wood-rocking-chair/7820909728.html
104,wood round back dining chair,10,chair,wood,unknown,https://charlottesville.craigslist.org/fuo/d/troy-wood-round-back-dining-chair/7821689632.html
105,torchier floor lamp,10,,,unknown,https://charlottesville.craigslist.org/fuo/d/troy-torchier-floor-lamp/7817132681.html
106,desk lamp goose neck/base holder,10,desk,,unknown,https://charlottesville.craigslist.org/fuo/d/troy-desk-lamp-goose-neck-base-holder/7819803278.html
107,from japan (2) hand painted lamps,6,,,Louisa,https://charlottesville.craigslist.org/fuo/d/troy-from-japan-hand-painted-lamps/7820909202.html
108,lamp ruffle shade glass,5,,glass,Louisa,https://charlottesville.craigslist.org/fuo/d/louisa-lamp-ruffle-shade-glass/7820922224.html
109,vintage floor glass table lamp,75,table,glass,Louisa,https://charlottesville.craigslist.org/fuo/d/troy-vintage-floor-glass-table-lamp/7821686270.html
110,vintage hurricane lamp white swirl glass shade,20,,glass,unknown,https://charlottesville.craigslist.org/fuo/d/troy-vintage-hurricane-lamp-white-swirl/7821687233.html
111,metal lamp small bulbs,15,,,unknown,https://charlottesville.craigslist.org/fuo/d/troy-metal-lamp-small-bulbs/7823007753.html
112,old (3) heavy chairs,15,,,unknown,https://charlottesville.craigslist.org/fuo/d/troy-old-heavy-chairs/7817132006.html
113,2 sturdy wood dine chairs,20,,wood,Louisa,https://charlottesville.craigslist.org/fuo/d/troy-sturdy-wood-dine-chairs/7819012537.html
114,(2) dining chairs white pull over covers,20,,,unknown,https://charlottesville.craigslist.org/fuo/d/troy-dining-chairs-white-pull-over/7820908796.html
115,2 metal frame design top/fabric seats chairs,20,,,Louisa,https://charlottesville.craigslist.org/fuo/d/troy-metal-frame-design-top-fabric/7823587177.html
116,rocking recliner,40,recliner,,unknown,https://charlottesville.craigslist.org/fuo/d/troy-rocking-recliner/7820914202.html
117,entertainment center/glass door/drawers,30,,,Louisa,https://charlottesville.craigslist.org/fuo/d/troy-entertainment-center-glass-door/7822805940.html
118,small tv/2 tier table rollers,10,table,,unknown,https://charlottesville.craigslist.org/fuo/d/troy-small-tv-tier-table-rollers/7817130923.html
119,rolling laptop table,10,table,,unknown,https://charlottesville.craigslist.org/fuo/d/troy-rolling-laptop-table/7817131001.html
120,end table,20,table,,unknown,https://charlottesville.craigslist.org/fuo/d/troy-end-table/7819801898.html
121,decorative table lamp,20,table,,unknown,https://charlottesville.craigslist.org/fuo/d/troy-decorative-table-lamp/7821686135.html
122,table (4) chairs,60,table,,unknown,https://charlottesville.craigslist.org/fuo/d/troy-table-chairs/7822805089.html
123,tall decorative lamp floor/table,30,,,unknown,https://charlottesville.craigslist.org/fuo/d/troy-tall-decorative-lamp-floor-table/7822805371.html
124,oak rocking chair,50,chair,,"Gordonsville, VA",https://charlottesville.craigslist.org/fuo/d/montpelier-station-oak-rocking-chair/7823581292.html
125,vintage solid wooden handmade dining table,400,table,,Charlottesville (Near the UVA Corner),https://charlottesville.craigslist.org/fuo/d/charlottesville-vintage-solid-wooden/7820298886.html
126,elegant china hutch,250,,,Forest Lakes,https://charlottesville.craigslist.org/fuo/d/charlottesville-elegant-china-hutch/7823513337.html
127,bookcase   book shelf   shelving unit,30,bookcase,,Charlottesville,https://charlottesville.craigslist.org/fuo/d/charlottesville-bookcase-book-shelf/7823493092.html
128,ikea billy bookcase,10,bookcase,,unknown,https://charlottesville.craigslist.org/fuo/d/charlottesville-ikea-billy-bookcase/7815662275.html
129,vintage executive desk,125,desk,,Charlottesville/Crozet,https://charlottesville.craigslist.org/fuo/d/charlottesville-vintage-executive-desk/7823474300.html
130,old bicycle from 70s,45,,,Waynesboro,https://charlottesville.craigslist.org/fuo/d/waynesboro-old-bicycle-from-70s/7823460725.html
